,player_id,match_id,team_id,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received
1,1bf33a9a,6f454493,cff3d9bb,AM,22-330,81,40,0,0,14,29,6,40,3,5,60.0,4,0,36,171,53,4,1,0,4,2,44,34,77.3,6
2,fed7cb61,6f454493,cff3d9bb,AM,22-064,9,9,0,0,5,5,1,9,0,0,,0,0,9,60,39,2,1,0,1,0,10,8,80.0,1
3,9674002f,6f454493,cff3d9bb,AM,22-216,90,71,0,2,19,54,4,63,0,2,0.0,0,0,52,266,129,8,1,1,1,1,64,55,85.9,8
4,79c0821a,6f454493,cff3d9bb,DM,27-100,90,85,0,5,59,31,1,83,1,3,33.3,2,0,69,386,153,12,6,0,0,1,69,68,98.6,3
5,45db685d,6f454493,cff3d9bb,DM,29-237,90,97,1,13,55,36,2,96,0,0,,0,0,58,213,71,3,3,0,0,1,79,78,98.7,4
6,f4290206,6f454493,cff3d9bb,WB,30-229,85,67,0,4,21,44,2,56,1,1,100.0,1,0,43,270,130,10,2,0,0,0,51,44,86.3,7
7,e0bc6fdc,6f454493,cff3d9bb,WB,27-011,5,2,0,0,1,1,1,2,0,0,,0,0,2,10,2,0,0,0,0,0,2,2,100.0,1
8,53cad200,6f454493,cff3d9bb,WB,31-351,66,69,1,9,19,45,2,62,1,1,100.0,1,0,51,217,117,11,2,0,0,0,57,52,91.2,3
9,1265a93a,6f454493,cff3d9bb,WB,21-249,24,14,0,3,2,9,1,13,0,0,,0,0,10,55,18,2,0,0,0,0,11,11,100.0,2
10,18b896d6,6f454493,cff3d9bb,CB,28-164,90,94,2,23,76,2,0,94,0,0,,0,0,77,325,194,6,2,0,0,0,83,81,97.6,0
11,1cb49278,6f454493,cff3d9bb,CB,25-126,90,115,9,45,74,0,0,113,0,0,,0,0,87,350,183,6,0,0,0,0,97,96,99.0,0
12,5515376c,6f454493,cff3d9bb,CB,22-040,90,85,5,28,50,13,2,85,1,1,100.0,1,0,69,423,242,9,0,0,0,0,75,74,98.7,0
13,33887998,6f454493,cff3d9bb,GK,29-166,90,20,19,20,0,0,0,15,0,0,,0,0,10,43,17,0,0,0,0,0,13,13,100.0,0
0,50e6dc35,6f454493,47c64c55,FW,24-047,56,15,2,4,11,1,0,12,2,2,100.0,2,0,6,18,0,0,0,0,0,0,21,9,42.9,0
1,ab070c55,6f454493,47c64c55,FW,30-254,34,6,0,1,4,2,1,5,0,0,,0,0,3,23,0,0,0,0,1,0,11,5,45.5,2
2,b2bc3b1f,6f454493,47c64c55,FW,28-277,90,33,2,5,15,14,3,33,1,1,100.0,1,0,28,146,80,3,1,2,2,3,35,23,65.7,3
3,3312f911,6f454493,47c64c55,"LM,RM",28-234,56,25,1,8,14,5,2,24,1,2,50.0,1,0,18,71,16,0,0,0,2,3,21,17,81.0,0
4,e34fc66d,6f454493,47c64c55,CB,25-075,34,40,9,18,24,1,1,39,1,1,100.0,1,0,29,178,112,3,0,0,0,0,33,33,100.0,0
5,da052c14,6f454493,47c64c55,"RM,CM,LM",29-337,90,43,1,12,25,10,2,43,2,6,33.3,2,0,36,205,117,3,2,0,3,3,35,27,77.1,0
6,cee31595,6f454493,47c64c55,"DM,CM",33-311,90,57,4,23,27,10,2,55,2,2,100.0,2,0,45,145,48,1,1,0,2,1,44,43,97.7,2
7,7a1f2c08,6f454493,47c64c55,DM,24-339,76,32,1,11,20,3,0,28,0,1,0.0,0,0,20,69,16,1,0,0,1,0,26,22,84.6,2
8,45685411,6f454493,47c64c55,DM,18-313,14,13,0,1,8,4,0,11,0,0,,0,0,8,33,4,0,0,0,0,1,11,9,81.8,1
9,5cbd1eb0,6f454493,47c64c55,"LB,WB",21-347,90,37,1,15,12,11,0,33,0,1,0.0,0,0,26,93,33,1,0,0,2,0,28,28,100.0,1
10,d0706b27,6f454493,47c64c55,CB,21-032,90,76,12,40,36,7,1,70,0,0,,0,0,58,454,289,5,4,0,0,0,60,59,98.3,0
11,8d3c902d,6f454493,47c64c55,CB,31-236,90,56,16,43,14,0,0,55,0,0,,0,0,38,165,116,0,0,0,0,0,39,38,97.4,0
12,8a7ff278,6f454493,47c64c55,"RB,WB",31-289,90,60,10,34,25,6,0,52,1,4,25.0,1,0,39,116,57,1,0,0,1,0,39,35,89.7,1
13,ab13a5aa,6f454493,47c64c55,GK,34-216,90,45,42,45,0,0,0,36,0,0,,0,0,26,84,43,0,0,0,0,0,23,23,100.0,0
0,2c44a35d,814b563c,2abfe087,FW,23-272,65,27,1,2,13,15,5,26,3,5,60.0,3,1,19,120,82,4,1,3,2,2,36,19,52.8,8
1,71b47ab9,814b563c,2abfe087,"LW,FW",22-116,25,12,0,2,8,5,2,10,0,2,0.0,0,0,8,83,70,3,2,1,0,1,13,8,61.5,3
2,1770bd68,814b563c,2abfe087,"LM,AM",27-318,90,32,2,10,17,7,1,30,0,1,0.0,0,0,14,94,75,4,1,0,2,2,31,18,58.1,4
3,5aaef9ef,814b563c,2abfe087,CM,34-169,68,28,1,10,14,4,0,27,3,4,75.0,4,1,19,111,76,4,0,0,2,1,18,13,72.2,2
4,7fec31a0,814b563c,2abfe087,"DM,CM",31-194,22,9,2,6,3,1,0,9,0,0,,0,0,3,5,5,0,0,0,1,0,4,4,100.0,0
5,6cdd8245,814b563c,2abfe087,CM,32-002,78,34,1,8,19,9,1,31,0,0,,0,0,19,112,83,3,1,0,0,0,25,19,76.0,1
6,82e34b69,814b563c,2abfe087,FW,33-046,12,2,1,1,0,1,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,8,1,12.5,0
7,bfdb33aa,814b563c,2abfe087,"RM,RW",23-170,90,42,0,8,17,21,8,42,3,3,100.0,3,2,34,304,237,10,3,5,4,4,45,32,71.1,7
