,player_id,match_id,team_id,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles
4,f5a00fa4,0b346a62,8cec06e1,DM,34-340,65,0,0,0,0,1,0,0,0,44,15,2,4,0,0.0,0.0,0.3,2,0,33,38,86.8,1,29,2,0,0
5,5a7301ae,0b346a62,8cec06e1,DM,26-121,25,0,0,0,0,0,0,0,0,15,11,2,0,2,0.0,0.0,0.0,0,0,9,9,100.0,1,6,0,0,0
6,44bfb6c5,0b346a62,8cec06e1,DM,24-154,90,0,0,0,0,1,0,0,0,50,21,2,1,1,0.0,0.0,0.1,3,0,36,44,81.8,6,37,2,0,0
7,9ae9eaea,0b346a62,8cec06e1,"WB,LB",32-176,90,0,0,0,0,0,0,1,0,61,19,2,2,2,0.0,0.0,0.1,2,0,43,53,81.1,5,35,6,1,1
8,9a71e978,0b346a62,8cec06e1,"WB,RB",19-208,90,0,0,0,0,1,0,1,0,66,25,7,1,0,0.0,0.0,0.0,3,0,44,54,81.5,4,36,6,0,1
9,9fbbcf39,0b346a62,8cec06e1,CB,31-141,90,0,0,0,0,0,0,0,0,68,7,2,3,0,0.0,0.0,0.1,1,0,50,57,87.7,7,36,3,0,0
10,2928dca2,0b346a62,8cec06e1,CB,28-170,90,0,0,0,0,0,0,0,0,57,8,2,1,1,0.0,0.0,0.0,0,0,42,48,87.5,1,30,0,0,0
11,d0f72bf1,0b346a62,8cec06e1,CB,24-083,89,0,0,0,0,2,1,0,0,75,6,3,3,0,0.1,0.1,0.0,1,0,49,59,83.1,7,47,6,1,1
12,e7aa9d7c,0b346a62,8cec06e1,FW,19-026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
13,903b6e8b,0b346a62,8cec06e1,GK,28-209,90,0,0,0,0,0,0,0,0,21,1,0,0,0,0.0,0.0,0.0,0,0,15,20,75.0,0,10,0,0,0
0,4ab53cdb,4eb36e37,943e8050,FW,32-016,69,0,0,0,0,1,1,0,0,20,12,3,0,2,0.2,0.2,0.0,1,0,9,13,69.2,2,11,2,1,1
1,2691c772,4eb36e37,943e8050,FW,31-288,21,0,0,0,0,0,0,0,0,4,1,0,0,0,0.0,0.0,0.0,1,0,1,3,33.3,1,3,1,0,0
2,4e9a0555,4eb36e37,943e8050,FW,29-250,90,0,0,0,0,3,1,0,0,28,7,0,1,0,0.1,0.1,0.0,3,0,11,16,68.8,2,16,3,1,3
3,fc15fb84,4eb36e37,943e8050,LM,21-265,78,0,0,0,0,0,0,0,0,35,16,0,3,5,0.0,0.0,0.1,2,0,14,24,58.3,0,25,4,2,3
4,47369df8,4eb36e37,943e8050,"DM,LM",25-238,12,0,0,0,0,0,0,0,0,12,3,2,1,0,0.0,0.0,0.0,1,0,5,8,62.5,0,5,0,0,0
5,f72293fc,4eb36e37,943e8050,"RM,LM",30-291,90,0,0,0,0,2,0,1,0,30,11,2,0,1,0.1,0.1,0.0,1,0,13,19,68.4,1,21,2,3,3
6,74e12f1e,4eb36e37,943e8050,DM,32-050,84,0,0,0,0,2,0,0,0,26,14,1,0,1,0.1,0.1,0.0,0,0,9,15,60.0,0,13,1,0,1
7,0d4ceb32,4eb36e37,943e8050,RM,29-105,6,0,0,0,0,2,0,0,0,4,0,0,0,0,0.1,0.1,0.0,0,0,1,2,50.0,0,3,0,0,0
8,495945ef,4eb36e37,943e8050,DM,31-135,90,0,1,0,0,0,0,0,0,42,17,1,2,0,0.0,0.0,0.3,4,1,24,38,63.2,6,19,3,0,0
9,cc2d7ad5,4eb36e37,943e8050,LB,27-330,90,0,0,0,0,0,0,0,0,66,4,1,5,4,0.0,0.0,0.1,3,1,35,53,66.0,3,34,4,1,2
10,8df7a2fb,4eb36e37,943e8050,CB,31-325,90,0,0,0,0,1,0,0,0,44,8,1,0,1,0.1,0.1,0.0,1,0,27,30,90.0,1,21,2,0,0
11,15ea812b,4eb36e37,943e8050,CB,28-268,90,1,0,0,0,3,1,1,0,37,9,3,1,3,0.4,0.4,0.0,0,0,17,21,81.0,3,14,0,0,0
12,9a9c05db,4eb36e37,943e8050,RB,32-066,90,0,0,0,0,0,0,0,0,54,8,2,0,3,0.0,0.0,0.0,3,0,27,43,62.8,5,29,7,0,1
13,4b40d9ca,4eb36e37,943e8050,GK,29-117,90,0,0,0,0,0,0,0,0,22,0,0,0,0,0.0,0.0,0.0,0,0,17,21,81.0,0,8,0,0,0
0,4bcf39f6,4eb36e37,d07537b9,FW,25-000,90,1,0,0,0,4,2,1,0,33,15,1,0,2,0.6,0.6,0.0,3,0,14,19,73.7,2,20,2,0,0
1,38ceb24a,4eb36e37,d07537b9,"LM,AM",26-253,75,0,0,0,0,1,0,0,0,38,6,1,0,1,0.1,0.1,0.0,1,0,19,28,67.9,3,33,9,3,6
2,83d074ff,4eb36e37,d07537b9,AM,22-233,15,1,0,0,0,1,1,0,0,7,5,1,0,0,0.2,0.2,0.0,0,0,3,4,75.0,0,3,1,0,0
3,6c203af0,4eb36e37,d07537b9,"CM,DM",24-349,90,0,0,0,0,0,0,0,0,50,13,1,2,0,0.0,0.0,0.0,1,1,42,45,93.3,3,38,5,0,0
4,1d5cab82,4eb36e37,d07537b9,CM,23-225,45,0,0,0,0,0,0,0,0,21,13,1,0,0,0.0,0.0,0.0,1,0,15,18,83.3,0,17,0,0,0
5,99813635,4eb36e37,d07537b9,CM,33-096,45,0,0,0,0,0,0,0,0,36,5,0,0,1,0.0,0.0,0.0,0,0,29,32,90.6,3,31,3,0,0
6,bb5fbd2b,4eb36e37,d07537b9,"RM,WB",27-025,90,0,0,0,0,1,1,0,0,50,16,4,0,2,0.1,0.1,0.1,3,0,35,40,87.5,3,35,6,0,0
7,ad1f61f3,4eb36e37,d07537b9,"DM,CM",22-340,71,0,0,0,0,0,0,0,0,46,8,2,1,2,0.0,0.0,0.1,3,0,36,38,94.7,2,37,4,0,0
8,f230bc30,4eb36e37,d07537b9,CM,22-129,19,0,1,0,0,1,1,0,0,10,2,0,0,1,0.2,0.2,0.5,2,1,5,5,100.0,1,6,1,0,0
9,8aec0537,4eb36e37,d07537b9,"LB,WB",30-060,90,0,1,0,0,2,0,0,0,83,10,2,0,1,0.1,0.1,0.2,5,1,57,70,81.4,3,51,3,0,0
10,282f75f3,4eb36e37,d07537b9,CB,29-266,90,0,0,0,0,0,0,0,0,87,2,0,0,1,0.0,0.0,0.0,1,0,72,78,92.3,0,63,0,0,0
11,7314bba4,4eb36e37,d07537b9,CB,29-225,90,0,0,0,0,3,1,0,0,67,4,2,0,2,0.1,0.1,0.0,1,0,44,46,95.7,0,38,1,0,0
12,c40b6180,4eb36e37,d07537b9,"RB,CB",26-222,90,0,0,0,0,1,0,0,0,92,8,3,2,2,0.0,0.0,0.0,2,1,57,76,75.0,2,54,5,0,0
13,6a713852,4eb36e37,d07537b9,GK,23-269,90,0,0,0,0,0,0,0,0,60,0,0,0,0,0.0,0.0,0.2,1,0,34,57,59.6,0,41,0,0,0
0,49fe9070,6f454493,cff3d9bb,FW,25-161,90,0,0,0,0,1,0,0,0,26,17,0,0,0,0.1,0.1,0.0,1,0,13,21,61.9,0,17,2,1,1
1,1bf33a9a,6f454493,cff3d9bb,AM,22-330,81,1,0,0,0,2,2,0,0,40,28,0,1,0,0.4,0.4,0.0,2,0,24,27,88.9,3,36,4,3,5
2,fed7cb61,6f454493,cff3d9bb,AM,22-064,9,0,0,0,0,0,0,0,0,9,5,1,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,9,2,0,0
3,9674002f,6f454493,cff3d9bb,AM,22-216,90,0,0,0,0,3,1,0,0,71,16,2,1,0,0.2,0.2,0.0,5,2,46,58,79.3,4,52,8,0,2
4,79c0821a,6f454493,cff3d9bb,DM,27-100,90,0,1,0,0,2,0,0,0,85,24,1,3,0,0.0,0.0,0.1,3,1,77,78,98.7,1,69,12,1,3
5,45db685d,6f454493,cff3d9bb,DM,29-237,90,0,0,0,0,0,0,0,0,97,32,6,3,1,0.0,0.0,0.0,4,1,81,88,92.0,8,58,3,0,0
6,f4290206,6f454493,cff3d9bb,WB,30-229,85,1,0,0,0,3,2,0,0,67,10,3,4,2,0.1,0.1,0.2,3,0,49,57,86.0,2,43,10,1,1
7,e0bc6fdc,6f454493,cff3d9bb,WB,27-011,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0
8,53cad200,6f454493,cff3d9bb,WB,31-351,66,0,0,0,0,1,0,0,0,69,13,4,1,1,0.0,0.0,0.0,2,2,57,63,90.5,10,51,11,1,1
9,1265a93a,6f454493,cff3d9bb,WB,21-249,24,0,0,0,0,0,0,0,0,14,8,1,1,0,0.0,0.0,0.0,1,0,11,12,91.7,1,10,2,0,0
10,18b896d6,6f454493,cff3d9bb,CB,28-164,90,0,0,0,0,0,0,0,0,94,8,2,0,2,0.0,0.0,0.0,0,0,77,84,91.7,5,77,6,0,0
11,1cb49278,6f454493,cff3d9bb,CB,25-126,90,0,0,0,0,0,0,0,0,115,5,0,9,1,0.0,0.0,0.0,0,0,104,107,97.2,5,87,6,0,0
12,5515376c,6f454493,cff3d9bb,CB,22-040,90,1,0,0,0,1,1,0,0,85,14,1,2,0,0.0,0.0,0.0,0,0,73,80,91.3,4,69,9,1,1
13,33887998,6f454493,cff3d9bb,GK,29-166,90,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,0,0,18,20,90.0,0,10,0,0,0
0,50e6dc35,6f454493,47c64c55,FW,24-047,56,0,0,0,0,0,0,0,0,15,14,0,0,1,0.0,0.0,0.0,0,0,7,11,63.6,0,6,0,2,2
1,ab070c55,6f454493,47c64c55,FW,30-254,34,0,0,0,0,1,0,0,0,6,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0
2,b2bc3b1f,6f454493,47c64c55,FW,28-277,90,0,0,0,0,1,0,0,0,33,23,1,1,0,0.2,0.2,0.0,1,0,14,19,73.7,2,28,3,1,1
3,3312f911,6f454493,47c64c55,"LM,RM",28-234,56,0,0,0,0,1,0,0,0,25,6,1,1,0,0.0,0.0,0.0,0,0,13,15,86.7,0,18,0,1,2
4,e34fc66d,6f454493,47c64c55,CB,25-075,34,0,0,0,0,0,0,0,0,40,0,0,2,2,0.0,0.0,0.0,1,0,30,35,85.7,2,29,3,1,1
5,da052c14,6f454493,47c64c55,"RM,CM,LM",29-337,90,0,0,0,0,1,1,0,0,43,26,1,2,1,0.0,0.0,0.2,1,0,21,26,80.8,2,36,3,2,6
6,cee31595,6f454493,47c64c55,"DM,CM",33-311,90,0,0,0,0,0,0,0,0,57,28,3,3,1,0.0,0.0,0.0,1,0,40,46,87.0,2,45,1,2,2
7,7a1f2c08,6f454493,47c64c55,DM,24-339,76,0,0,0,0,0,0,0,0,32,5,1,0,0,0.0,0.0,0.0,1,0,25,28,89.3,1,20,1,0,1
8,45685411,6f454493,47c64c55,DM,18-313,14,0,0,0,0,0,0,0,0,13,5,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,0,8,0,0,0
9,5cbd1eb0,6f454493,47c64c55,"LB,WB",21-347,90,0,0,0,0,0,0,0,0,37,14,0,0,0,0.0,0.0,0.0,0,0,29,33,87.9,0,26,1,0,1
10,d0706b27,6f454493,47c64c55,CB,21-032,90,0,0,0,0,0,0,0,0,76,6,1,0,1,0.0,0.0,0.0,1,0,63,73,86.3,1,58,5,0,0
11,8d3c902d,6f454493,47c64c55,CB,31-236,90,0,0,0,0,0,0,0,0,56,7,0,2,3,0.0,0.0,0.0,0,0,45,48,93.8,1,38,0,0,0
12,8a7ff278,6f454493,47c64c55,"RB,WB",31-289,90,0,0,0,0,0,0,0,0,60,7,2,3,4,0.0,0.0,0.0,0,0,37,43,86.0,1,39,1,1,4
13,ab13a5aa,6f454493,47c64c55,GK,34-216,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0.0,0.0,0.0,0,0,34,41,82.9,0,26,0,0,0
0,2c44a35d,814b563c,2abfe087,FW,23-272,65,1,1,0,0,5,3,0,0,27,15,2,0,0,0.8,0.8,0.1,9,2,12,14,85.7,2,19,4,3,5
1,71b47ab9,814b563c,2abfe087,"LW,FW",22-116,25,1,0,0,0,2,2,0,0,12,6,0,0,0,0.1,0.1,0.0,0,0,5,6,83.3,1,8,3,0,2
2,1770bd68,814b563c,2abfe087,"LM,AM",27-318,90,0,0,0,0,0,0,1,0,32,15,2,0,1,0.0,0.0,0.5,3,0,13,19,68.4,0,14,4,0,1
3,5aaef9ef,814b563c,2abfe087,CM,34-169,68,0,0,0,0,2,0,1,0,28,14,4,2,0,0.1,0.1,0.0,2,1,11,16,68.8,3,19,4,3,4
4,7fec31a0,814b563c,2abfe087,"DM,CM",31-194,22,0,0,0,0,0,0,0,0,9,5,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,3,0,0,0
5,6cdd8245,814b563c,2abfe087,CM,32-002,78,0,1,0,0,0,0,0,0,34,15,2,1,1,0.0,0.0,0.0,2,1,18,29,62.1,5,19,3,0,0
6,82e34b69,814b563c,2abfe087,FW,33-046,12,0,0,0,0,0,0,0,0,2,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
