,player_id,match_id,team_id,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked
4,79c0821a,6f454493,cff3d9bb,DM,27-100,90,78,75,3,3,0,6,3,0,0,0,0,0,70,6,2,3,74,1,0,0,77,0,0,0,1
5,45db685d,6f454493,cff3d9bb,DM,29-237,90,88,86,2,2,0,13,4,0,0,0,0,0,67,7,14,9,77,1,0,0,81,1,0,1,1
6,f4290206,6f454493,cff3d9bb,WB,30-229,85,57,48,9,0,0,7,2,2,0,0,0,0,33,17,7,41,5,0,9,0,49,0,0,2,3
7,e0bc6fdc,6f454493,cff3d9bb,WB,27-011,5,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0
8,53cad200,6f454493,cff3d9bb,WB,31-351,66,63,56,7,0,0,4,1,1,0,0,0,0,45,9,9,6,50,0,7,0,57,0,1,2,0
9,1265a93a,6f454493,cff3d9bb,WB,21-249,24,12,11,1,0,0,0,0,1,0,0,0,0,11,1,0,2,9,0,1,0,11,0,0,0,1
10,18b896d6,6f454493,cff3d9bb,CB,28-164,90,84,84,0,0,0,3,3,0,0,0,0,0,72,7,5,28,56,0,0,0,77,0,0,3,0
11,1cb49278,6f454493,cff3d9bb,CB,25-126,90,107,105,2,1,0,4,3,0,0,0,0,0,97,3,7,3,102,1,0,0,104,0,0,0,0
12,5515376c,6f454493,cff3d9bb,CB,22-040,90,80,80,0,0,1,5,0,0,0,0,0,0,67,3,10,4,71,4,0,0,73,0,0,0,0
13,33887998,6f454493,cff3d9bb,GK,29-166,90,20,15,5,1,0,4,0,0,0,0,0,0,17,1,2,2,16,0,0,2,18,0,1,0,0
0,50e6dc35,6f454493,47c64c55,FW,24-047,56,11,8,3,0,0,6,0,0,0,0,0,0,5,2,4,2,4,1,0,0,7,1,0,2,1
1,ab070c55,6f454493,47c64c55,FW,30-254,34,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0
2,b2bc3b1f,6f454493,47c64c55,FW,28-277,90,19,17,2,2,0,2,0,1,0,0,0,0,16,3,0,2,17,0,0,0,14,0,0,4,1
3,3312f911,6f454493,47c64c55,"LM,RM",28-234,56,15,14,1,1,0,4,0,1,0,0,0,0,12,2,1,10,3,1,0,0,13,0,0,1,0
4,e34fc66d,6f454493,47c64c55,CB,25-075,34,35,34,1,1,0,2,4,1,0,0,0,0,22,5,8,3,31,0,0,0,30,0,0,3,0
5,da052c14,6f454493,47c64c55,"RM,CM,LM",29-337,90,26,26,0,0,0,7,0,0,0,0,0,0,23,2,1,1,24,0,0,0,21,0,0,0,1
6,cee31595,6f454493,47c64c55,"DM,CM",33-311,90,46,44,2,1,0,14,1,1,0,0,0,0,33,9,4,9,36,0,1,0,40,0,0,2,0
7,7a1f2c08,6f454493,47c64c55,DM,24-339,76,28,24,4,2,0,5,3,0,2,1,1,0,22,3,3,20,7,1,0,0,25,0,1,0,1
8,45685411,6f454493,47c64c55,DM,18-313,14,12,10,2,2,0,4,1,1,0,0,0,0,7,4,1,12,0,0,0,0,10,0,0,1,0
9,5cbd1eb0,6f454493,47c64c55,"LB,WB",21-347,90,33,29,4,0,0,12,0,0,0,0,0,0,21,7,5,22,4,3,4,0,29,0,1,2,0
10,d0706b27,6f454493,47c64c55,CB,21-032,90,73,67,6,5,0,10,2,0,0,0,0,0,53,12,8,25,44,2,1,0,63,0,2,6,0
11,8d3c902d,6f454493,47c64c55,CB,31-236,90,48,47,1,1,0,3,1,0,0,0,0,0,38,7,3,1,45,1,0,0,45,0,0,1,1
12,8a7ff278,6f454493,47c64c55,"RB,WB",31-289,90,43,35,8,0,0,5,0,0,0,0,0,0,25,12,6,3,31,1,8,0,37,0,2,2,0
13,ab13a5aa,6f454493,47c64c55,GK,34-216,90,41,32,9,1,0,5,3,0,0,0,0,0,28,2,11,3,30,0,0,5,34,0,3,0,1
0,2c44a35d,814b563c,2abfe087,FW,23-272,65,14,13,1,0,0,5,0,0,0,0,0,0,8,6,0,2,12,0,0,0,12,0,0,2,0
1,71b47ab9,814b563c,2abfe087,"LW,FW",22-116,25,6,4,2,0,0,2,0,0,0,0,0,0,4,0,2,1,3,1,0,0,5,0,0,0,0
2,1770bd68,814b563c,2abfe087,"LM,AM",27-318,90,19,16,3,2,0,4,2,1,1,0,1,0,9,0,10,15,1,2,0,0,13,0,0,2,0
3,5aaef9ef,814b563c,2abfe087,CM,34-169,68,16,15,1,1,0,3,0,0,0,0,0,0,12,1,3,4,9,2,0,0,11,0,1,2,0
4,7fec31a0,814b563c,2abfe087,"DM,CM",31-194,22,7,7,0,0,0,1,0,0,0,0,0,0,5,1,1,2,4,0,0,0,5,0,0,0,0
5,6cdd8245,814b563c,2abfe087,CM,32-002,78,29,26,3,2,0,2,0,1,1,1,0,0,13,8,8,7,20,1,0,0,18,0,2,1,0
6,82e34b69,814b563c,2abfe087,FW,33-046,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
7,bfdb33aa,814b563c,2abfe087,"RM,RW",23-170,90,25,24,1,1,0,4,1,4,0,0,0,0,12,7,6,0,21,3,0,0,18,0,1,0,2
8,b579e83d,814b563c,2abfe087,DM,25-278,90,32,28,4,4,0,2,2,0,0,0,0,0,23,1,8,6,24,2,0,0,27,0,2,2,0
9,de0f152c,814b563c,2abfe087,LB,27-224,90,42,34,8,1,0,6,2,1,0,0,0,0,10,11,21,22,6,3,7,0,26,0,1,3,1
