,player_id,match_id,team_id,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors
0,68c720b5,c99ebbf5,33c895d4,FW,24-185,90,1,0,0,0,1,0,0,,0,20,6,30.0,2,11,7,1,0,0,1,0,1,0,0
1,f2bf1b0f,c99ebbf5,33c895d4,FW,25-032,90,3,3,1,0,2,0,1,0.0,1,13,4,30.8,1,5,7,0,0,0,0,0,3,3,0
2,254147d4,c99ebbf5,33c895d4,"LM,LB",23-060,90,5,1,3,2,0,2,3,66.7,1,26,4,15.4,13,9,4,2,0,0,2,2,7,2,0
3,4b511457,c99ebbf5,33c895d4,CM,29-324,79,3,2,1,1,1,1,2,50.0,1,18,5,27.8,7,9,2,2,0,0,2,2,5,3,0
4,11ff3d56,c99ebbf5,33c895d4,CM,22-159,11,0,0,0,0,0,0,2,0.0,2,7,2,28.6,1,6,0,0,0,0,0,0,0,0,0
5,3515d404,c99ebbf5,33c895d4,CM,26-286,90,3,1,0,3,0,1,4,25.0,3,19,6,31.6,8,9,2,3,1,0,2,2,5,1,0
6,1ecb65be,c99ebbf5,33c895d4,RM,32-151,79,1,0,1,0,0,0,1,0.0,1,10,2,20.0,3,4,3,0,0,0,0,0,1,0,0
7,f1e94cd6,c99ebbf5,33c895d4,RM,22-040,11,0,0,0,0,0,0,0,,0,4,1,25.0,2,1,1,0,0,0,0,0,0,0,0
8,6dfd8f05,c99ebbf5,33c895d4,LB,23-326,82,1,0,1,0,0,0,0,,0,10,0,0.0,5,4,1,1,0,0,1,0,1,2,0
9,ab651565,c99ebbf5,33c895d4,LM,27-161,8,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,1,1,0,0
10,0b33f6ad,c99ebbf5,33c895d4,CB,22-119,90,0,0,0,0,0,0,0,,0,7,0,0.0,5,2,0,3,1,0,2,1,1,7,0
11,6adbc307,c99ebbf5,33c895d4,CB,27-199,90,3,1,1,2,0,0,0,,0,9,2,22.2,6,3,0,0,0,0,0,2,5,6,0
12,afed6722,c99ebbf5,33c895d4,RB,18-275,90,4,2,3,0,1,4,6,66.7,2,12,0,0.0,8,4,0,3,1,0,2,4,8,4,0
13,36c2ca73,c99ebbf5,33c895d4,GK,31-254,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
